time,open,high,low,close,volume
2019-08-05 07:00:00+09:00,26473.03,26473.03,26426.69,26451.61,237
2019-08-05 07:05:00+09:00,26452.61,26459.59,26446.13,26453.61,117
2019-08-05 07:10:00+09:00,26454.11,26460.59,26451.12,26452.12,126
2019-08-05 07:15:00+09:00,26452.12,26454.62,26446.64,26453.13,92
2019-08-05 07:20:00+09:00,26454.12,26470.57,26454.12,26465.59,113
2019-08-05 07:25:00+09:00,26464.59,26468.09,26459.62,26460.61,68
2019-08-05 07:30:00+09:00,26461.61,26464.1,26455.14,26455.14,77
2019-08-05 07:35:00+09:00,26461.62,26477.57,26459.13,26477.57,80
2019-08-05 07:40:00+09:00,26478.07,26478.07,26467.11,26473.09,78
2019-08-05 07:45:00+09:00,26473.59,26473.59,26462.13,26465.62,60
2019-08-05 07:50:00+09:00,26463.63,26463.63,26451.67,26455.66,70
2019-08-05 07:55:00+09:00,26454.67,26465.14,26454.17,26461.15,55
2019-08-05 08:00:00+09:00,26458.66,26466.14,26452.68,26461.66,68
2019-08-05 08:05:00+09:00,26462.16,26471.13,26461.66,26464.16,72
2019-08-05 08:10:00+09:00,26464.65,26466.65,26461.67,26462.67,55
2019-08-05 08:15:00+09:00,26463.17,26466.16,26461.18,26464.67,45
2019-08-05 08:20:00+09:00,26465.17,26466.17,26464.67,26465.67,29
2019-08-05 08:25:00+09:00,26465.17,26468.16,26457.7,26461.69,77
2019-08-05 08:30:00+09:00,26460.69,26468.67,26460.2,26464.69,65
2019-08-05 08:35:00+09:00,26464.19,26465.68,26452.73,26453.23,88
2019-08-05 08:40:00+09:00,26453.23,26457.72,26443.27,26444.27,72
2019-08-05 08:45:00+09:00,26443.27,26447.26,26431.31,26444.77,132
2019-08-05 08:50:00+09:00,26445.27,26446.27,26436.31,26437.3,94
2019-08-05 08:55:00+09:00,26436.81,26449.27,26432.32,26445.78,131
2019-08-05 09:00:00+09:00,26443.79,26462.23,26440.31,26443.8,205
