Time,Open,High,Low,Close
2011/12/11 7:0:0,12218.0,12218.0,12194.0,12201.0
2011/12/12 7:0:0,12193.0,12225.0,11941.0,12024.0
2011/12/13 7:0:0,12024.0,12149.0,11903.0,11960.0
2011/12/14 7:0:0,11961.0,12013.0,11787.0,11830.0
2011/12/15 7:0:0,11831.0,11966.0,11766.0,11902.0
2011/12/16 7:0:0,11902.0,11977.0,11816.0,11844.0
2011/12/18 7:0:0,11844.0,11871.0,11842.0,11851.0
2011/12/19 7:0:0,11859.0,11926.0,11734.0,11800.0
2011/12/20 7:0:0,11800.0,12115.0,11797.0,12101.0
2011/12/21 7:0:0,12101.0,12224.0,11998.0,12098.0
2011/12/22 7:0:0,12098.0,12220.0,12061.0,12214.0
2011/12/23 7:0:0,12214.0,12300.0,12178.0,12285.0
2011/12/25 7:0:0,12285.0,12285.0,12285.0,12285.0
2011/12/27 7:0:0,12298.0,12328.0,12256.0,12270.0
2011/12/28 7:0:0,12270.0,12321.0,12139.0,12172.0
2011/12/29 7:0:0,12172.0,12305.0,12148.0,12285.0
2011/12/30 7:0:0,12285.0,12300.0,12200.0,12217.0
2012/1/1 7:0:0,12217.0,12217.0,12217.0,12217.0
2012/1/3 7:0:0,12420.0,12483.0,12388.0,12402.0
2012/1/4 7:0:0,12403.0,12429.0,12335.0,12411.0
2012/1/5 7:0:0,12411.0,12437.0,12283.0,12394.0
2012/1/6 7:0:0,12394.0,12463.0,12329.0,12365.0
2012/1/8 7:0:0,12365.0,12368.0,12309.0,12325.0
2012/1/9 7:0:0,12368.0,12410.0,12308.0,12404.0
2012/1/10 7:0:0,12405.0,12519.0,12401.0,12431.0
2012/1/11 7:0:0,12431.0,12463.0,12393.0,12442.0
2012/1/12 7:0:0,12442.0,12520.0,12384.0,12471.0
2012/1/13 7:0:0,12471.0,12496.0,12307.0,12451.0
2012/1/15 7:0:0,12423.0,12438.0,12416.0,12428.0
2012/1/16 7:0:0,12409.0,12479.0,12385.0,12471.0
2012/1/17 7:0:0,12470.0,12574.0,12464.0,12487.0
2012/1/18 7:0:0,12487.0,12583.0,12448.0,12564.0
2012/1/19 7:0:0,12564.0,12647.0,12538.0,12636.0
2012/1/20 7:0:0,12637.0,12721.0,12606.0,12711.0
2012/1/22 7:0:0,12682.0,12689.0,12673.0,12678.0
2012/1/23 7:0:0,12682.0,12763.0,12667.0,12702.0
2012/1/24 7:0:0,12702.0,12720.0,12616.0,12696.0
2012/1/25 7:0:0,12696.0,12779.0,12577.0,12730.0
2012/1/26 7:0:0,12730.0,12840.0,12694.0,12730.0
2012/1/27 7:0:0,12729.0,12773.0,12629.0,12663.0
2012/1/29 7:0:0,12675.0,12682.0,12654.0,12659.0
2012/1/30 7:0:0,12675.0,12682.0,12529.0,12658.0
2012/1/31 7:0:0,12657.0,12733.0,12566.0,12618.0
2012/2/1 7:0:0,12618.0,12787.0,12601.0,12716.0
2012/2/2 7:0:0,12715.0,12751.0,12675.0,12714.0
2012/2/3 7:0:0,12714.0,12878.0,12695.0,12843.0
2012/2/5 7:0:0,12827.0,12827.0,12807.0,12824.0
2012/2/6 7:0:0,12827.0,12842.0,12771.0,12832.0
2012/2/7 7:0:0,12832.0,12902.0,12778.0,12855.0
2012/2/8 7:0:0,12854.0,12905.0,12815.0,12855.0
2012/2/9 7:0:0,12855.0,12926.0,12826.0,12865.0
2012/2/10 7:0:0,12865.0,12868.0,12743.0,12803.0
2012/2/12 7:0:0,12862.0,12862.0,12833.0,12851.0
2012/2/13 7:0:0,12855.0,12899.0,12819.0,12839.0
2012/2/14 7:0:0,12840.0,12889.0,12787.0,12857.0
2012/2/15 7:0:0,12857.0,12950.0,12752.0,12758.0
2012/2/16 7:0:0,12758.0,12914.0,12720.0,12888.0
2012/2/17 7:0:0,12888.0,12966.0,12879.0,12949.0
2012/2/19 7:0:0,13011.0,13041.0,13011.0,13026.0
2012/2/20 7:0:0,13011.0,13041.0,12975.0,12983.0
2012/2/21 7:0:0,12985.0,13027.0,12923.0,12959.0
2012/2/22 7:0:0,12959.0,12996.0,12914.0,12934.0
2012/2/23 7:0:0,12934.0,13010.0,12881.0,13004.0
2012/2/24 7:0:0,13004.0,13030.0,12947.0,12976.0
2012/2/26 7:0:0,12977.0,12987.0,12974.0,12981.0
2012/2/27 7:0:0,12977.0,13028.0,12880.0,12984.0
2012/2/28 7:0:0,12985.0,13036.0,12954.0,13007.0
2012/2/29 7:0:0,13007.0,13056.0,12903.0,12936.0
2012/3/1 7:0:0,12936.0,13038.0,12911.0,13003.0
2012/3/2 7:0:0,13003.0,13004.0,12927.0,12981.0
2012/3/4 7:0:0,12972.0,12986.0,12971.0,12971.0
2012/3/5 7:0:0,12972.0,12986.0,12882.0,12972.0
2012/3/6 7:0:0,12972.0,12983.0,12735.0,12773.0
2012/3/7 7:0:0,12773.0,12859.0,12758.0,12834.0
2012/3/8 7:0:0,12834.0,12953.0,12828.0,12910.0
2012/3/9 7:0:0,12909.0,12971.0,12889.0,12930.0
2012/3/11 7:0:0,12925.0,12931.0,12923.0,12931.0
2012/3/12 7:0:0,12936.0,12976.0,12886.0,12970.0
2012/3/13 7:0:0,12970.0,13200.0,12970.0,13173.0
2012/3/14 7:0:0,13173.0,13220.0,13154.0,13179.0
2012/3/15 7:0:0,13179.0,13253.0,13172.0,13232.0
2012/3/16 7:0:0,13232.0,13289.0,13222.0,13228.0
2012/3/18 7:0:0,13226.0,13238.0,13219.0,13238.0
2012/3/19 7:0:0,13226.0,13272.0,13188.0,13229.0
2012/3/20 7:0:0,13229.0,13238.0,13119.0,13174.0
2012/3/21 7:0:0,13175.0,13225.0,13111.0,13141.0
2012/3/22 7:0:0,13141.0,13158.0,13017.0,13070.0
2012/3/23 7:0:0,13070.0,13107.0,13001.0,13098.0
2012/3/25 7:0:0,13125.0,13132.0,13124.0,13128.0
2012/3/26 6:0:0,13096.0,13281.0,13087.0,13276.0
2012/3/27 6:0:0,13276.0,13313.0,13179.0,13200.0
2012/3/28 6:0:0,13200.0,13243.0,13072.0,13128.0
2012/3/29 6:0:0,13128.0,13154.0,13034.0,13139.0
2012/3/30 6:0:0,13139.0,13224.0,13137.0,13211.0
2012/4/1 6:0:0,13236.0,13262.0,13236.0,13261.0
2012/4/2 6:0:0,13236.0,13296.0,13150.0,13246.0
2012/4/3 6:0:0,13246.0,13264.0,13146.0,13180.0
2012/4/4 6:0:0,13181.0,13184.0,13016.0,13062.0
2012/4/5 6:0:0,13062.0,13096.0,12987.0,13043.0
2012/4/6 6:0:0,13043.0,13069.0,12893.0,12915.0
2012/4/8 6:0:0,12921.0,12921.0,12888.0,12904.0
